ID,Target,DataSource1_Feature1,DataSource1_Feature2,DataSource1_Feature3,DataSource2_Feature1,DataSource2_Feature2,DataSource2_Feature3,DataSource2_Feature4,DataSource2_Feature5,DataSource2_Feature6,DataSource2_Feature7,DataSource2_Feature8,DataSource2_Feature9,DataSource3_Feature1,DataSource3_Feature2,DataSource3_Feature3,DataSource4_Feature1,DataSource4_Feature2,DataSource4_Feature3,DataSource4_Feature4,DataSource4_Feature5,DataSource4_Feature6
1067220391,0,EA,A,A,253.0603,0.25049463,0.25049463,123100.0,39038.0,2.641,0.965,0.0,0.0068,,,,0.45,0.26,0.23,0.47,0.01,E
892946974,0,EA,A,A,110.10541,-0.67163885,-0.67163885,365400.0,89484.0,7.054,0.7054,0.0613,0.0575,,,,0.81,0.11,0.09,0.59,0.51,2
480781191,0,RD,B,A,80.98667,-0.7175149,-0.7175149,711400.0,54041.0,10.618,0.5131,0.0125,0.2884,0.0,14.92,D,0.69,0.09,0.77,0.79,0.67,3
-1923119693,0,EA,A,A,9.45512,0.15259032,0.15259032,208500.0,62736.0,7.952,0.7517,0.0452,0.03,0.0,13.19,D,0.61,0.09,0.81,0.58,0.86,3
1638451885,0,EA,A,A,89.99592,0.996877,0.996877,494900.0,81523.0,5.142,0.9682,0.0068,0.0076,,,,0.87,0.09,0.84,0.59,0.26,2
1625479257,0,RD,B,A,1157.12948,-0.40205252,-0.40205252,,,0.156,0.5,0.0,0.0,,,,,0.24,0.55,0.67,0.55,4
560251169,0,EA,B,A,38.67563,-0.2659624,-0.2659624,170600.0,71657.0,5.397,0.8928,0.0222,0.0119,0.0,11.65,A,0.48,0.21,0.93,0.44,0.39,K
-1953897490,1,EA,A,A,30.89783,-0.9875402,-0.9875402,352200.0,107089.0,6.522,0.9076,0.0133,0.021,,,,0.96,0.07,0.71,0.08,0.51,2
-1279807107,0,RD,A,A,35.90847,-0.76525104,-0.76525104,377400.0,66071.0,8.694,0.3924,0.1798,0.0338,,,,0.54,0.31,0.38,0.26,0.58,2
-1402499612,0,RD,A,A,122.96035,0.7148231,0.7148231,608400.0,148125.0,6.983,0.8242,0.0152,0.1069,0.0,14.06,A,0.74,0.14,0.48,0.23,0.3,H
-2146112037,0,EA,A,A,104.6181,-0.7661409,-0.7661409,389300.0,109041.0,7.719,0.6471,0.0429,0.2213,,,,1.0,0.01,0.31,0.98,0.62,1
527287643,0,RD,B,A,126.97643,0.7232094,0.7232094,484500.0,109371.0,6.984,0.8455,0.0199,0.0659,,,,0.93,0.07,0.41,0.88,0.68,1
951659470,0,EA,A,A,69.6642,-0.9369914,-0.9369914,586600.0,144491.0,7.871,0.8442,0.0083,0.0677,0.0,10.67,A,0.89,0.06,0.1,0.76,0.89,2
241158513,0,RD,A,A,99.38395,-0.72092843,-0.72092843,358200.0,103580.0,7.806,0.738,0.0592,0.0946,,,,0.83,0.08,0.73,0.28,0.96,2
-517690655,0,RD,A,A,7.72172,-0.20524816,-0.20524816,218600.0,40803.0,9.109,0.3513,0.3858,0.0728,0.0,13.5,A,0.1,0.44,0.77,0.4,0.1,G
-858706873,0,EA,A,A,144.58458,0.66704935,0.66704935,313300.0,88961.0,6.068,0.9433,0.0084,0.0221,0.0,16.36,B,0.88,0.13,0.34,0.81,0.62,E
2065734122,0,EA,A,A,84.2414,0.8223529,0.8223529,442500.0,132063.0,5.798,0.9598,0.0052,0.0132,,,,0.83,0.1,0.14,0.67,0.69,E
1276219370,0,RD,A,A,10.4186,-0.63889074,-0.63889074,119100.0,41902.0,8.231,0.4369,0.1181,0.022,,,,0.52,0.28,0.95,0.44,0.39,L
1069358197,0,EA,B,A,272.71394,-0.8199061,-0.8199061,333400.0,74598.0,8.587,0.3562,0.2002,0.0964,,,,0.48,0.31,0.55,0.64,0.38,4
652638990,0,EA,A,A,117.66189,0.87779725,0.87779725,742300.0,133596.0,6.908,0.9515,0.0077,0.0213,,,,0.92,0.07,0.03,0.62,0.75,1
-435857447,0,RD,A,A,44.66626,0.99598336,0.99598336,200200.0,61980.0,7.219,0.6866,0.096,0.0711,,,,,,,,,
-1096279904,0,RD,B,A,48.83945,0.4150412,0.4150412,266600.0,88442.0,7.103,0.9226,0.0182,0.027,,,,0.83,0.06,0.28,0.65,0.99,K
949230029,0,EA,B,A,72.30856,-0.9183497,-0.9183497,752900.0,150329.0,7.838,0.8959,0.0072,0.0473,,,,0.97,0.05,0.16,0.7,0.89,2
-509477856,0,EA,A,A,24.10929,0.28928673,0.28928673,378200.0,132171.0,7.966,0.8693,0.0308,0.0485,,,,,,,,,
834317302,0,EA,A,A,93.69987,0.7790704,0.7790704,386400.0,121406.0,7.205,0.8057,0.0264,0.0893,,,,1.0,0.01,0.04,0.93,0.79,1
819641007,0,EA,B,A,99.38395,-0.72092843,-0.72092843,358200.0,103580.0,7.806,0.738,0.0592,0.0946,,,,0.58,0.31,0.73,0.29,0.63,2
-687448125,1,EA,A,A,106.40706,0.92928565,0.92928565,351100.0,92289.0,6.883,0.8796,0.0539,0.0152,,,,0.73,0.1,0.23,0.77,0.93,1
1616158722,0,EA,A,A,127.23435,0.7962006,0.7962006,347200.0,65495.0,8.531,0.7052,0.0548,0.0273,,,,0.84,0.1,0.28,0.88,0.9,2
694886781,0,EA,A,A,128.75442,-0.53213,-0.53213,112200.0,53654.0,4.755,0.9443,0.0069,0.011,,,,,,,,,
661869806,0,EA,B,A,97.30091,0.8347582,0.8347582,646400.0,155039.0,6.728,0.936,0.0095,0.0325,,,,0.95,0.07,0.06,0.54,0.95,2
796072787,0,EA,A,A,52.80551,-0.9738387,-0.9738387,284300.0,88982.0,6.927,0.7242,0.0666,0.0476,0.0,12.16,D,0.76,0.13,0.49,0.98,0.89,2
91804422,0,EA,A,A,101.6023,0.8969171,0.8969171,432100.0,122710.0,6.821,0.9036,0.0326,0.0272,,,,0.71,0.18,0.49,0.3,0.55,2
